-8.18949048E-02,+1.15712570E+04,+1.12938382E+04,+1.14779615E+04,+3.95683698E-03 
-8.18464008E-02,+1.15614993E+04,+1.12369638E+04,+1.14857945E+04,+3.95674346E-03 
-8.19799378E-02,+1.15568571E+04,+1.12623139E+04,+1.14971886E+04,+3.95705955E-03 
-8.19627279E-02,+1.15559613E+04,+1.12687685E+04,+1.15172540E+04,+3.95648198E-03 
-8.18643656E-02,+1.15572587E+04,+1.12531324E+04,+1.15035597E+04,+3.95704936E-03 
-8.18953668E-02,+1.15580348E+04,+1.12939480E+04,+1.15140492E+04,+3.95700278E-03 
-8.19793897E-02,+1.15577887E+04,+1.12954911E+04,+1.15033298E+04,+3.95693242E-03 
-8.19918647E-02,+1.15427724E+04,+1.11559163E+04,+1.14222378E+04,+3.95720039E-03 
-8.21093919E-02,+1.15214910E+04,+1.12338876E+04,+1.14407506E+04,+3.95735957E-03 
-8.21093919E-02,+1.15214910E+04,+1.12338876E+04,+1.14407506E+04,+3.95735957E-03 
-8.19711563E-02,+1.15206626E+04,+1.11953607E+04,+1.14153156E+04,+3.95709004E-03 
-8.20386875E-02,+1.15199399E+04,+1.11740789E+04,+1.14048764E+04,+3.95728490E-03 
-8.19897704E-02,+1.15197419E+04,+1.11585019E+04,+1.14126966E+04,+3.95722665E-03 
-8.20233603E-02,+1.15197507E+04,+1.11598055E+04,+1.14350991E+04,+3.95768375E-03 
-8.21761791E-02,+1.15198411E+04,+1.11661624E+04,+1.14451928E+04,+3.95752577E-03 
-8.17561715E-02,+1.15198276E+04,+1.11884203E+04,+1.14661495E+04,+3.95718382E-03 
-8.19284441E-02,+1.15201978E+04,+1.12357878E+04,+1.15060664E+04,+3.95724562E-03 
-8.21403465E-02,+1.15203709E+04,+1.12765875E+04,+1.15312670E+04,+3.95735162E-03 
